,text,selected_text,sentiment,Age of User,Country
7507,what do you think i m doing at the moment yeah you guessed it URL,what do you think i`m doing at the moment? yeah you guessed it  http://www.phoenixfm.com/listen-now.php,neutral,21-30,El Salvador
7508,is sadly sitting at home when she could be going to a partyy,sadly,negative,31-45,Equatorial Guinea
7509,you just want to go i know the feeling i m ready to head back to the mountains i wo nt go back till date_july,"you just want to go?? i know the feeling...  i`m ready to head back to the mountains, i won`t go back till july",neutral,46-60,Eritrea
7510,link did nt work,didn`t work,negative,60-70,Estonia
7511,is NUMBER sober at brittneys with becky and brit love,sober,negative,70-100,"Eswatini (fmr. ""Swaziland"")"
7512,absolutely boiling got factor NUMBER on must not turn orange must not look like person_oompa person_lumpa my left shoulder is burnt from date_yesterday,my left shoulder is burnt from yesterday,negative,0-20,Ethiopia
7513,org_hii i ve missed you just boredwhat about you,i`ve missed you  just bore,negative,21-30,Fiji
7514,hahaha yes our discussions always seem to jump around randomly,"hahaha, yes, our discussions always seem to jump around randomly",neutral,31-45,Finland
7515,URL this store at the airport is as close as well get to wdw during this trip,this store at the airport is as close as we`ll get to wdw during this trip.,neutral,46-60,France
7516,nite now i m up and bored as opposed to almost sleep from b for,bored,negative,60-70,Gabon
7517,_ x ass hole that s annoying,_x ah that`s annoying,negative,70-100,Gambia
7518,reunited and it feels so good,it feels so good,positive,0-20,Georgia
7519,watched kunguma poovum konjuma puravum liked it very much excellent cinematography,liked it very much!  excellent cinematography!!!,positive,21-30,Germany
7520,star trek was great yet minor details needed to be worked out but i give it a thumbs up regardless,great,positive,31-45,Ghana
7521,i so should ve gone right now wish i could alter time,wish i could alter time!!,negative,46-60,Greece
7522,no sadly its not bit disappointed will try again later see if i change my mind,sadly,negative,60-70,Grenada
7523,to doente,to doente,neutral,70-100,Guatemala
7524,new web log post blog auto insuran i just found that my auto insurance policy had been expired i am too careless meanw,expired.,negative,0-20,Guinea
7525,my tummy hurts go away cramps i hate chuu,hurts,negative,21-30,Guinea-Bissau
7526,i wish i could offer a hug right now so bad,bad,negative,31-45,Guyana
7527,hey welcome to va lol its muggy up here by do not care too worst part of date_summer i d say,"hey welcome to va, lol.  it`s muggy up here by dc too.  worst part of summer i`d say",neutral,46-60,Haiti
7528,ayy okayy it was nice seeing you kanina i like your hair,s nice,positive,60-70,Holy See
7529,wfd lasagna still NUMBER minutes to go so hungry now,"wfd: lasagna. still 45 minutes to go, so hungry now.",neutral,70-100,Honduras
7530,person_ohh person_kayy fasho if you go time_tonight have fun for me,ht have fun for me,positive,0-20,Hungary
7531,were playing at at club impact date_tomorrow finally got shirts woopity doo i want a slurpee soo bad right now,bad,negative,21-30,Iceland
7532,whoa i did nt mean to sleep for time_more time_than time_an time_hour,"whoa, i didn`t mean to sleep for more than an hour",neutral,31-45,India
7533,he s here sleep over with the mr time_night people,he`s here   sleep over with the mr. night peeps !,neutral,46-60,Indonesia
7534,not going to suffolk date_tomorrow however now my bad i are planning a picnic on the mall with friends person_neil jodi,"not going to suffolk tomorrow.   however, now mb & i are planning a picnic on the mall with friends neil & jodi.",neutral,60-70,Iran
7535,has an hour left of revision,has an hour left of revision,neutral,70-100,Iraq
7536,is sitting at home wishing that i did not have to work date_today ask for it off and still have to work,is sitting at home wishing that i didnt have to work today. ask for it off and still have to work,neutral,0-20,Ireland
7537,do nt worry you spelt no correctly it just looks wrong,"don`t worry, you spelt `no` correctly! it just looks wrong",neutral,21-30,Israel
7538,is at the botanical gardens and its beautiful but she forgot an extra memory card so no pictures date_today,its beautiful,positive,31-45,Italy
7539,yeah those are better ads it makes them look part of your content rather than blatant adverts,better,positive,46-60,Jamaica
7540,person_borat was so less URL,borat was so less ****  http://bit.ly/izkab,neutral,60-70,Japan
7541,just went through my piggy bank man there was a hell of a lot of money in there i can easily live out of just it for date_the date_next date_too date_weeks,i can easily live,positive,70-100,Jordan
7542,in gpe_singapore its so warm over here having a blast already,blast,positive,0-20,Kazakhstan
7543,great service but i find the time lag from time of posting to appearance on twitter to be a small downer,"great service, but i find the time lag from time of posting to appearance on twitter to be a small downer",neutral,21-30,Kenya
7544,hope you feel better soon little magic girl,hope,positive,31-45,Kiribati
7545,just get back home the ordinal_first exam was too long no time to finish it,just get back home. the first exam was too long no time to finish it ...,neutral,46-60,Kuwait
7546,back at wingman after a great weekend,great we,positive,60-70,Kyrgyzstan
7547,round and round the garden the amazing thing is that he s still talking to me URL,the amazing thing is that he`s still talking to me!,positive,70-100,Laos
7548,heading home now yay was going to buy a much needed bottle of wine to drink with dinner but my wallet is work_of_art_Missing work_of_art_In work_of_art_Action so no wine for me time_tonight,"heading home now, yay! was going to buy a much needed bottle of wine to drink with dinner, but my wallet is mia so no wine for me tonight",neutral,0-20,Latvia
7549,man looking through and packing up my books is looking at my past lives feeling kind of sentimental,feeling kind of sentimental,positive,21-30,Lebanon
7550,yeah its going to be rubbish,rubbish!,negative,31-45,Lesotho
7551,you suck majorly i m swampedso why am i on norp_twitteri do nt knowbut still a golf tournament,suck,negative,46-60,Liberia
7552,ca nt sleep right now because of havin so much tea time_tonight i ve just failed the test of my org_lpi course date_next date_week ill make it better,can`t sleep rite now because of havin` so much tea!!! 2nite i`ve just failed the test of my lpi course   next week i`ll make it better!,neutral,60-70,Libya
7553,good morning everyone time for work,good morning everyone. !.!. time for work,neutral,70-100,Liechtenstein
7554,nice i wish twitter would tile mine,nice!,positive,0-20,Lithuania
7555,org_ohh haha okay thanks,ohh. haha ok thanks,neutral,21-30,Luxembourg
7556,i have the song here comes goodbye stuck in my head not a good song to be singing considering my situation,not a good song,negative,31-45,Madagascar
7557,yay were all saved what ever overcome god again,saved!,positive,46-60,Malawi
7558,no problem mate was great meeting you in prague,great meeting you,positive,60-70,Malaysia
7559,watching run fat boy runhaha its So funny,funny.,positive,70-100,Maldives
7560,do nt i know it writing an exam essay date_this date_weekend myself,"don`t i know it, writing an exam essay this weekend myself",neutral,0-20,Mali
7561,i need lele to answer mee haha,haha.,positive,21-30,Malta
7562,implementing will_paginate on my website i love rails,love,positive,31-45,Marshall Islands
7563,and boat is dining bones in gpe_peru double,and boat is dining bones in peru - double,neutral,46-60,Mauritania
7564,mm time_late time_night brusters ice cream om fac_nom fac_nom fac_nom,om nom nom nom,positive,60-70,Mauritius
7565,rofl i love you too trina,love,positive,70-100,Mexico
7566,tidied hoovered the whole flat and all before NUMBERam date_today now were heading out norp_german bakery for breakfast followed by a walk in the park,tidied & hoovered the whole flat - and all b4 10am today  now we`re heading out2 german bakery 4 breakfast followed by a walk in the park,neutral,0-20,Micronesia
7567,he has a favourite you re his favourite omgaah sorry for creepering not really laughing out loud,! he has a favourite! you`re his favourite ;) omgaah.   sorry for creepering? ..not really lo,neutral,21-30,Moldova
7568,gremlin is asleep after a particularly challenging bedtime i think its safe for me to go to bed what a crazy sat night for me,gremlin is asleep after a particularly challenging bedtime. i think it`s safe 4 me to go to bed -what a crazy sat night for me!,neutral,31-45,Monaco
7569,congratulations on your shirt by the way,congratulations,positive,46-60,Mongolia
7570,ironically that thought goes through my head no pun intended for every headache i have hope it goes away soon,"ironically, that thought goes through my head (no pun intended) for *every* headache i have...  hope it goes away soon.",neutral,60-70,Montenegro
7571,that sucks its thundering here i m getting ready to shut down,that sucks!,negative,70-100,Morocco
7572,saw xmen origins on sat by far the best xmen movie amazing,best xmen movie!,positive,0-20,Mozambique
7573,bgt dcd seniors were good but not good enough,"#bgt dcd seniors were good, but not good enough.",neutral,21-30,Myanmar (formerly Burma)
7574,hmph i had to order some bootleg pharos gps phone they do not have the bye bye i wanted at office depot,hmph i had to order some bootleg pharos gps phone they dont have the bb i wanted at office depot,neutral,31-45,Namibia
7575,just gott home from work and now relaxing,just gott home from work and now relaxing,positive,46-60,Nauru
